Big	Grande<br>Questa scarpa è più grande dell’altra.<br>This shoe is bigger than the other one.
Religion	Religione<br>Qualunque sia la tua religione, ti rispetto come persona.<br>Whatever your religion, I respect you as a person.
Protestantism	Protestantesimo<br>Il Protestantesimo diede il via a una grande rivoluzione in Europa.<br>Protestantism gave the way to a great revolution in Europe.
Catholicism	Cattolicesimo<br>Roma è la città simbolo del Cattolicesimo.<br>Rome is the city symbol of Catholicism.
Hinduism	Induismo<br>Sto leggendo un libro sull’Induismo per saperne di più.<br>I'm reading a book on Hinduism to know more about it.
Buddhism	Buddismo<br>Molte persone che conosco si sono convertite al Buddismo.<br>Many people I know have converted to Buddhism.
Islam	Islam<br>So veramente poco dell’Islam.<br>I know very little about Islam.
Temple	Tempio<br>Quella casa assomiglia a un tempio greco.<br>That house resembles a Greek temple.
Taoism	Taoismo<br>Mi ha detto che il Taoismo è una filosofia cinese, è vero?<br>She told me Taoism is a Chinese philosophy, is it true?
Judaism	Giudaismo<br>Quanto è diffuso il Giudaismo in tutto il mondo?<br>How widespread is Judaism all over the world?
Funeral	Funerale<br>Al funerale di mio nonno c'erano centinaia di persone.<br>At my grandpa’s funeral there were hundreds of people.
Quran	Corano<br>Prima o poi vorrei leggere il Corano.<br>I would like to read the Quran sooner or later.
English	Inglese<br>Il mio livello di inglese è piuttosto basso. Dovrei migliorare.<br>My level of English is quite low. I should improve.
Physics	Fisica<br>Domani ho il test di fisica e sono terrorizzato.<br>Tomorrow I am having the physics test and I am terrified.
History	Storia<br>Ho bisogno di rivedere metà del programma di storia prima degli esami.<br>I need to review half of the history programme before the exams.
Chemistry	Chimica<br>Il laboratorio di chimica è al secondo piano, vicino alla mensa.<br>The chemistry lab is on the second floor, next to the cafeteria.
Biology	Biologia<br>Mi piacerebbe laurearmi in biologia. Cosa ne pensi?<br>I would like to graduate in biology. What do you think?
Politics	Politica<br>Mi dispiace, ma non so nulla di politica.<br>I am sorry, but I know nothing about politics.
Geography	Geografia<br>La lezione di geografia è stata davvero noiosa quest’oggi.<br>Geography lesson was really boring today.
School year	Anno scolastico<br>Il prossimo anno scolastico inizierà il 12 settembre.<br>The next school year starts on September 12th.
Anthropology	Antropologia<br>L'antropologia è lo studio dell'uomo come animale.<br>Anthropology is the study of man as an animal.
Entomology	Entomologia<br>L'entomologia è lo studio degli insetti.<br>Entomology is the study of insects.
Calligraphy	Calligrafia<br>La sua calligrafia è terribile.<br>His calligraphy is awful.
Ethnology	Etnologia<br>L'etnologia è lo studio di diverse razze e delle loro relazioni.<br>Ethnology is the study of different races and and their relationships.
Dictation	Dettato<br>Non sono molto bravo nel dettato in italiano.<br>I'm not very good at dictation in Italian.
Learn	Imparare<br>Se vuoi imparare bene l’italiano, devi leggere e ascoltare molto.<br>If you want to learn Italian well, you have to read and listen a lot.
Blackboard	Lavagna<br>Scrivi sulla lavagna tutti i numeri da 0 a 100.<br>Write all the numbers from 0 to 100 on the blackboard.
Literature	Letteratura<br>Sono appassionato di letteratura italiana.<br>I am enthusiastic about Italian literature.
Linguistics	Linguistica<br>È un esperto di linguistica. È professore all’Università.<br>He is an expert in linguistics. He is professor at the University.
Book	Libro<br>Hai comprato un altro libro? Non ne hai mai abbastanza!<br>Did you buy another book? It’s never enough for you!
Professor	Professore<br>Domani parlerò al mio professore riguardo la tesi di laurea.<br>Tomorrow I will have a talk to my professor about my final thesis.
Science	Scienza<br>La fiera della scienza si terrà a fine settembre.<br>The science fair will be held at the end of September.
Etymology	Etimologia<br>L’etimologia studia l'origine delle parole.<br>Etymology studies the origin of words.
Graphology	Grafologia<br>La grafologia è lo studio della scrittura a mano.<br>Graphology is the study of handwriting.
School	Scuola<br>La scuola è proprio qui a due passi.<br>The school is right here, just a few steps away.
Elementary school	Scuola elementare<br>Una volta finita la scuola elementare andrà alla scuola media.<br>Once he has finished the elementary school, he will go to the middle school.
University	Università<br>Gli anni dell’Università sono indimenticabili.<br>University years are unforgettable.
Dictionary	Dizionario<br>Se non sai il significato di una parola, cerca nel dizionario.<br>If you do not know the meaning of a word, look it up in the dictionary.
Lesson	Lezione<br>La prima lezione di oggi è matematica.<br>The first lesson today is maths.
Notebook	Quaderno<br>Ti spiacerebbe prestarmi il tuo quaderno?<br>Would you mind lending me your notebook?
Homework	Compiti<br>Oggi non posso uscire con te. Ho troppi compiti da fare.<br>Today I can’t go out with you. I have too much homework to do.
Class	Lezione<br>La lezione di musica inizia alle 9:30.<br>Music class starts at 9.30 am.
Teacher	Insegnante<br>Quell’uomo con la giacca marrone è il mio insegnante di storia.<br>That man with a brown jacket is my history teacher.
Student	Studente<br>Lui è lo studente migliore ed è pronto ad aiutare chiunque.<br>He is the best student and he is ready to help everyone.
Pen	Penna<br>Durante il test dovrai usare la penna nera.<br>During the test you will have to use the black pen.
Classmate	Compagno di classe<br>Il mio compagno di classe compie gli anni il mio stesso giorno.<br>My classmate’s birthday is on the same day as mine.
Raise one's hand	Alzare la mano<br>Siete gentilmente pregati di alzare la mano prima di parlare.<br>You are kindly asked to raise your hand before talking.
Pass a test	Superare un esame<br>Ha studiato moltissimo per superare un esame di storia molto difficile.<br>He studied a lot to pass a very difficult history test.
School holiday	Vacanza scolastica<br>Le vacanze scolastiche iniziano a giugno.<br>School holiday starts in June.
Attend classes	Frequentare le lezioni<br>Perché non puoi frequentare le lezioni?<br>Why can’t you attend classes?
Attend a lecture	Prendere parte a una conferenza<br>Ho deciso di prendere parte a una conferenza in Università.<br>I have decided to attend a lecture at University.
Take a test	Fare un esame<br>Per fare un esame, è necessario studiare molto. Tu non l’hai fatto!<br>To take a test, you need to study a lot. You didn’t do it!
Textbook	Libro di testo<br>Quest’anno abbiamo un nuovo libro di testo di matematica.<br>This year we have a new math textbook.
Pencil	Matita<br>Di solito, prima faccio uno schizzo a matita.<br>Usually, I first make a pencil sketch.
Scissors	Forbici<br>Non puoi portare le forbici con te in mensa.<br>You can’t take the scissors with you to the canteen.
Ballpoint pen	Penna a sfera<br>Scrivo bene solo con la penna a sfera.<br>I can write well only with the ballpoint pen.
Ruler	Righello<br>Se vuoi fare le righe dritte, devi usare il righello.<br>If you want to draw straight lines, you must use the ruler.
Lead	Mina<br>La mina nelle matite si rompe facilmente.<br>Lead in pencils breaks easily.
Glue	Colla<br>Metti della colla sul retro della fotografia e attaccala all’album.<br>Put some glue on the back of the photo and paste it to the album
Middle School	Scuola media<br>La scuola media sarà più impegnativa della scuola elementare.<br>The Middle school will be more demanding than the elementary school.
College	College<br>Quando andrò al college, adotterò un cane per tenermi compagnia.<br>When I go to college, I will adopt a dog to keep me company.
Summer school	Scuola estiva<br>Durante la scuola estiva ha partecipato a numerose attività sportive.<br>During the summer school she took part in many sports activities.
Eraser	Gomma per cancellare<br>Se vuoi pulire le tue scarpe bianche, usa la gomma per cancellare.<br>If you want to clean your white shoes, use the eraser.
Mechanical pencil	Portamine<br>Mi serve una matita con portamine per il corso di disegno.<br>I need a mechanical pencil for the drawing course.
Marker	Pennarello<br>Ho lasciato la penna a casa; scriverò con il pennarello.<br>I left the pen at home; I will write with the marker.
Tuition	Retta<br>È possibile ottenere un prestito per pagare la retta.<br>You can get a loan to pay your tuition fee.
Whiteboard	Lavagna bianca<br>Vedo molto meglio la lavagna bianca rispetto a quella nera.<br>I can see much better the whiteboard than the blackboard.
Graduation	Laurea<br>Il giorno della mia laurea, sarò la persona più felice della Terra.<br>On my graduation day, I will be the happiest person on Earth.
Lecture	Lezione universitaria<br>Quello è il mio prof. di legge all’Università. Ogni lezione è qualcosa di unico!<br>That man is my Law Prof. at University. Each lecture is something unique!
Re-entry permit	Permesso di rientro<br>Dì ai tuoi genitori di chiedere un permesso di rientro al Preside.<br>Tell your parents to ask the Principal for a re-entry permit.
Tack	Puntina da disegno<br>La classe ha lasciato una puntina sulla sedia dell'insegnante per scherzo.<br>The class left a tack on the teacher’s chair as a joke.
Read aloud	Leggere ad alta voce<br>Paolo, potresti leggere questo passaggio ad alta voce per la classe?<br>Paolo, could you please read this passage aloud for your classmates?
Revise	Rivedere<br>L'insegnante mi ha detto di rivedere il mio tema.<br>The teacher told me to revise my essay.
Principal	Preside<br>Il signor Smith è il miglior preside che abbia mai avuto.<br>Mr. Smith is the best Principal I have ever had.
Earth science	Scienze della terra<br>Domani farò un test molto difficile su scienze della Terra.<br>Tomorrow I am having a very difficult test on earth science.
Sociology	Sociologia<br>Si è laureata in Sociologia lo scorso anno.<br>She graduated in Sociology last year.
Graduate	Laurearsi<br>Il suo piano è di laurearsi a novembre. Spero che ce la farà.<br>His plan is to graduate in November. I hope he will do it.
Photography	Fotografia<br>Fotografia è stata una delle materie che ho studiato a scuola.<br>Photography was one of the subjects I studied at school.
Meteorology	Meteorologia<br>La meteorologia è lo studio del tempo e del clima.<br>Meteorology is the study of weather and climate.
Study	Studio<br>Durante i miei studi all'Università, ho vissuto al Campus.<br>During my study at the University, I lived in the Campus.
Teach	Insegnare<br>C'è qualcos'altro che vuoi insegnarmi?<br>Is there anything else you want to teach me?
Test	Esame<br>Il mio prossimo test è mercoledì.<br>My next test is on Wednesday.
Classroom	Classe<br>Ora vai in classe e rispondi correttamente!<br>Now, go in the classroom and answer properly!
Exercise	Fare esercizio<br>Prima di un test di matematica devi fare esercizio.<br>Before a maths test, you have to exercise.
Explain	Spiegare<br>Potresti spiegare il significato di questa parola?<br>Could you explain the meaning of this word?
Study	Studiare<br>Preferisco studiare di notte.<br>I prefer to study at night.
Math	Matematica<br>Non ho mai amato la matematica a scuola, ma poi ho cambiato idea.<br>I have never loved mathematics at school, but then I changed my mind.
Exercise	Esercizio<br>Per compito, fate l’esercizio n. 5 pagina 150.<br>For homework, do exercise n. 5 page 150.
High School	Scuola superiore<br>Ho passato il miglior periodo della mia vita alla scuola superiore.<br>I had the best time of my life during the high school period.
Education	Istruzione<br>Che istruzione hai? Una laurea o un dottorato?<br>What’s your education? A degree or a Phd?
Summer vacation	Vacanze estive<br>Le vacanze estive degli studenti italiani durano tre mesi.<br>Italian students’ summer vacation last three months.
Final exam	Esame finale<br>Il mio esame finale sarà su Sociologia.<br>My final exam will be on Sociology.
Chalk	Gesso<br>Si usa ancora il gesso a scuola?<br>Is chalk still used at school?
Written composition	Tema<br>Il tuo tema è decisamente il migliore. Bel lavoro!<br>Your written composition is definitely the best. Good job!
Gymnastics	Ginnastica<br>Insegna ginnastica nella scuola locale.<br>She teaches gymnastics in the local school.
School chair	Sedia<br>Il mio compagno di classe ha rotto la sedia a causa del suo peso.<br>Due to his weight, my classmate broke the school chair.
School desk	Banco<br>Alla fine delle elementari, il banco era troppo piccolo per lui.<br>At the end of the elementary school, the school desk was too small for him.
Economics	Economia<br>Mi sono laureata in economia per il settore turistico.<br>I graduated in economics for the tourism industry.
Odontology	Odontoiatria<br>L'odontoiatria è lo studio dei denti.<br>Odontology is the study of teeth.
Ornithology	Ornitologia<br>Si è laureato in ornitologia e quindi gli piacciono gli uccelli.<br>He graduated in ornithology and therefore he likes birds.
Palaeontology	Paleontologia<br>La paleontologia ha a che fare con i fossili, giusto?<br>Palaeontology has to do with fossils, right?
Philology	Filologia<br>La lingua è studiata dalla filologia.<br>Language is studied by philology.
Short story	Racconto<br>Il nostro test di inglese è principalmente scrivere un racconto.<br>Our English test is mainly to write a short story.
Drawing	Disegno<br>Alla scuola materna, i bambini fanno disegni adorabili.<br>In the kindergarten, children make lovely drawings.
Exercising	Esercizio<br>Non appena torna a casa da scuola inizia a fare esercizio.<br>As soon as he comes back from school, he starts exercising.
Story	Storia<br>Ha scritto una breve storia horror per i suoi alunni.<br>She wrote a short horror story for her pupils.
Square (shape)	Quadrato<br>Disegnate un quadrato e poi tracciate le diagonali.<br>Draw a square and then trace the diagonals.
Research	Ricerca<br>È tornato in Italia per fare ricerca in campo medico.<br>He came back to Italy to do research in the medical field.
Dormitory	Dormitorio<br>Le luci del dormitorio del college si spengono alle 22:30.<br>The lights in the dormitory at college turn off at 10.30 pm.
Question	Domanda<br>Gli studenti hanno organizzato un sondaggio di 20 domande.<br>The students organised a 20 question survey.
Summer	Estate<br>Molti italiani trascorrono l’estate al mare.<br>Many Italians spend the summer by the sea.
Spring	Primavera<br>Non vedo l’ora che arrivi la primavera. Sono stufo dell’inverno.<br>I can’t wait for spring to come. I am sick of winter.
Winter	Inverno<br>Mi piace bere la cioccolata calda in inverno.<br>I like drinking hot chocolate in the winter.
Fall	Autunno<br>La scuola inizierà in autunno.<br>School will start in fall.
Tennis	Tennis<br>Gioco a tennis due volte alla settimana.<br>I play tennis twice a week.
Golf	Golf<br>Il golf è un’ottima scelta se ti piacciono gli sport all’aperto.<br>Golf is a great choice if you like outdoor sports.
Cycling	Ciclismo<br>Il ciclismo è molto in voga in Italia.<br>Cycling is very popular in Italy.
Swimming	Nuoto<br>Il nuoto è uno sport completo ed è consigliato ai bambini.<br>Swimming is a complete sport and it is recommended for children.
Basketball	Pallacanestro<br>Mi piace vedere le partite di pallacanestro in TV.<br>I like watching basketball matches on TV.
Baseball	Baseball<br>Il baseball sta diventando sempre più famoso tra i giovani.<br>Baseball is becoming even more popular among young people.
Volleyball	Pallavolo<br>Quando ero piccola giocavo a pallavolo al parco con le amiche.<br>When I was a child, I played volleyball at the park with my friends.
Marathon	Maratona<br>Mi sto allenando per la maratona del prossimo autunno.<br>I'm training for the next autumn marathon.
Run	Correre<br>Ho comprato delle nuove scarpe da ginnastica. Ora sono pronto a correre.<br>I bought a new pair of trainers. Now I'm ready to run.
Player	Giocatore<br>Per questo sport serve più di un giocatore.<br>For this sport, more than one player is needed.
Boxing	Pugilato<br>In quella palestra si tengono gli incontri di pugilato.<br>In that gym, boxing matches are held.
Sports	Sport<br>È una rivista di sport molto letta in Italia.<br>It is a very popular sports magazine in Italy.
Stadium	Stadio<br>Va allo stadio tutte le domeniche. È un vero tifoso!<br>He goes to the stadium every Sunday. He is a real supporter!
Team	Squadra<br>Ti piacerebbe entrare a far parte della mia squadra?<br>Would you like to be part of my team?
Squat	Fare i piegamenti<br>L’allenatore ci ha obbligato a fare i piegamenti. Sono distrutto!<br>The coach forced us to do squats. I'm destroyed!
Catch	Afferrare<br>Afferra la palla! Prendi la palla!<br>Catch the ball! Catch the ball!
Professional athlete	Atleta professionista<br>È un atleta professionista, per cui si allena tutti i giorni.<br>He is a professional athlete, so he trains every day.
Track and field	Atletica leggera<br>Fa gare di atletica leggera da quando è bambina.<br>She has been taking part in track and field competitions since she was a child.
Ping pong	Ping pong<br>È un campione di ping pong e andrà a studiare in Cina.<br>He is a ping pong champion and he is going to study in China.
Ice hockey	Hockey sul ghiaccio<br>Vorrei assistere a una partita di hockey su ghiaccio in Canada.<br>I would like to see one ice hockey match in Canada.
Auto racing	Corsa di automobili<br>Mi piace vedere le corse di automobili in tv. Piace anche a te?<br>I like watching auto racing on tv. Do you like it too?
Mixed martial arts	Arti marziali miste<br>È un'esperta di arti marziali miste e insegna in una scuola.<br>She is an expert in mixed martial arts and teaches at school.
Kick	Calciare<br>Non calciare la palla fino a quando non fischio.<br>Don’t kick the ball until I whistle.
Football	Football<br>Gioca a football nella squadra dell’Università.<br>He plays football in the University team.
Rugby	Rugby<br>Le piace il rugby ma non trova una squadra femminile in cui giocare.<br>She likes rugby but she can’t find a girl team to play with.
Olympics	Olimpiadi<br>Le prossime Olimpiadi si terranno a Tokyo.<br>The next Olympics will be held in Tokyo.
World Cup	Coppa del Mondo<br>Adoro guardare la Coppa del Mondo di sci in tv.<br>I love watching the Ski World Cup on tv.
finale – Semi-final	Semi<br>Se la mia squadra dovesse andare in semifinale, sarà comunque una vittoria.<br>Should my team go to the semi-final, it will be a victory in any case.
Championship contest	Gara di campionato<br>La gara di campionato è stata posticipata a causa della pioggia.<br>The championship contest had to be postponed due to rain.
Jogging	Jogging<br>A molte persone piace fare jogging nel parco, ma io lo trovo noioso.<br>Many people like jogging in the park, but I find it boring.
Martial arts	Arti marziali<br>Non so nulla di arti marziali, ma lui mi parla come se fossi un’esperta.<br>I know nothing about martial arts, but he talks to me as if I was an expert.
Soccer	Calcio<br>Gioca a calcio da quando aveva 5 anni.<br>He has been playing soccer since the age of 5.
Working out	Allenamento<br>L’allenamento duro è solo per i campioni!<br>Working out hard is only for champions!
Running	Corsa<br>La corsa era il mio sport preferito in passato.<br>Running was my favourite sport in the past.
Skiing	Sci<br>Ha praticato lo sci per tutta la vita.<br>She has practiced skiing for her whole life.
Gym	Palestra<br>Ho passato due ore in palestra. Sono distrutto.<br>I spent two hours at the gym. I am destroyed.
Part	Componente<br>Sei un componente della squadra?<br>Are you part of the team?
Badminton	Volano<br>Nonostante quello che pensi, giocare a volano non è affatto facile.<br>Despite what you think, playing badminton is not easy at all.
Winner	Vincitore<br>Chi è il vincitore del campionato di calcio quest’anno?<br>Who’s the winner of the football league this year?
Loser	Perdente<br>I compagni lo hanno sempre chiamato perdente, ma oggi è un grande campione.<br>All his classmates called him a loser, but today he is a great champion.
Champion	Campione<br>Fu il primo campione a battere qualsiasi record.<br>He was the first champion who beat any records.
Cheer	Fare il tifo<br>Per che squadra fai il tipo?<br>What team do you cheer on?
Competition	Gara<br>Sai il risultato della gara?<br>Do you know the result of the competition?
Game	Partita<br>La mia squadra ha perso la partita per colpa dell’arbitro.<br>My team lost the game because of the referee.
Lose	Perdere<br>Non voglio che vai a perdere soldi nei giochi.<br>I don’t want you to lose money on games.
Win	Vincere<br>Non è possibile vincere tutte le partite.<br>It is not possibile to win all the games.
Round	Round<br>Al quarto round il pugile si è arreso.<br>In the fourth round the boxer gave up.
Furious	Furioso<br>Mio padre era furioso quando gli dissi che avevo fracassato la sua macchina.<br>My father was furious when I told him I had crashed his car.
Giddy	Avere le vertigini<br>Ho sempre le vertigini quando guardo dall'alto di un alto edificio.<br>I always feel giddy when I look down from the top of a high building.
Feel homesick	Sentire nostalgia di casa<br>Quando mi sono trasferito in Svezia, ho sentito molto nostalgia di casa.<br>When I first moved to Sweden I felt very homesick.
Thrilled	Elettrizzato<br>Era davvero elettrizzata quando ha saputo che aveva ottenuto il lavoro.<br>She was really thrilled when she heard that she had got the job.
Preoccupied	Preoccupato<br>Gli ho parlato, ma era troppo preoccupato per notarmi.<br>I spoke to him, but he was too preoccupied to notice me.
Hoarse	Rauco<br>Dopo tutto quel cantare, la mia voce era davvero rauca.<br>After all that singing, my voice was really hoarse.
Terrified	Terrorizzato<br>Mia sorella è terrorizzata quando quel cane abbaia contro di lei.<br>My sister is terrified when that dog barks at her.
Sympathetic	Comprensivo<br>Mio padre fu molto comprensivo quando gli dissi che avevo perso il lavoro.<br>My dad was very sympathetic when I told him I had lost my job.
Embarrassed	Imbarazzato<br>Mi sono sentito imbarazzato al primo appuntamento con Claudia.<br>I felt embarrassed on the first date with Claudia.
Pregnant	Incinta<br>Mio marito pianse quando gli dissi che ero incinta.<br>My husband cried when I told him I was pregnant.
Dejected	Demoralizzato<br>Quando Maria rifiutò di uscire con lui, si sentì davvero demoralizzato.<br>When Maria refused to go out with him, he felt really dejected.
Depressed	Depresso<br>Sembri depresso. Cosa è successo?<br>You look depressed. What happened?
Nostalgic	Nostalgico<br>Ascoltare una canzone dei Beatles mi fa sentire molto nostalgico.<br>Listening to a Beatles' song makes me feel very nostalgic.
Relieved	Sollevato<br>Ero molto sollevata quando il medico mi disse che il mio peso è perfetto.<br>I felt very relieved when the doctor told me my weight is perfect.
Drowsy	Assonnato<br>Stare al sole mi faceva sentire molto assonnato.<br>Lying in the sun made me feel very drowsy.
Disappointed	Deluso<br>Andrea era così deluso quando non ha passato l’esame di guida.<br>Andrew was so disappointed when he failed his driving test.
Offended	Offeso<br>Mio cugino si è offeso quando non l'ho invitato al mio matrimonio.<br>My cousin was offended when I didn't invite him to my wedding.
Amazed	Sbalordito<br>Quando ho saputo che aveva superato l'esame, sono rimasto sbalordito.<br>When I heard that he had passed the exam I was amazed.
Disgusted	Disgustato<br>La stanza d'albergo era così sporca che mi sentii disgustato.<br>The hotel room was so dirty that I felt disgusted.
Listless	Svogliato<br>Odio il caldo. Mi fa sentire così svogliato.<br>I hate the heat. It makes me feel so listless.
Despondent	Scoraggiato<br>Quando sua moglie lo lasciò, si sentì davvero scoraggiato.<br>When his wife left him, he felt really despondent.
Tense	Teso<br>Mi sono sentito molto teso prima dell'intervista.<br>I felt very tense before the interview.
Sober	Sobrio<br>Era perfettamente sobrio quando lasciò la festa.<br>He was perfectly sober when he left the party.
Obtain	Ottenere<br>Ottenere è sinonimo di ricevere.<br>To obtain is a synonym of the verb to receive.
Profit	Profitto<br>Profitto è l’opposto di perdita.<br>Profit is the opposite of loss.
Naughty	Birichino<br>Birichino è sinonimo per l'aggettivo dispettoso.<br>Naughty is a synonym for the adjective mischievous.
Useless	Inutile<br>Inutile è l’opposto di utile.<br>Useless is the opposite of useful.
Disappear	Sparire<br>Un sinonimo per il verbo sparire è svanire.<br>A synonym of the verb to disappear is to vanish.
Sour	Acido<br>L’aggettivo acido è l'opposto dell'aggettivo dolce.<br>The adjective sour is the opposite of the adjective sweet.
Permit	Permettere<br>Un sinonimo per il verbo consentire è permettere.<br>A synonym of the verb to allow is to permit.
Tenant	Inquilino<br>L'opposto del sostantivo “padrone di casa" è il nome “inquilino".<br>The opposite of the noun “landlord" is the noun “tenant”.
Detest	Detestare<br>Un sinonimo del verbo odiare è detestare.<br>A synonym of the verb to hate is to detest.
Reject	Rifiutare<br>L'opposto del verbo accettare è rifiutare.<br>The opposite of the verb to accept is to reject.
Minute	Minuto<br>Sono pronta in un minuto!<br>I am ready in a minute!
PM	Del pomeriggio<br>Il corso inizia alle 3:00 del pomeriggio.<br>The course starts at 3.00 pm.
Quarter to (hour)	Un quarto alle (ora)<br>Il treno parte un quarto alle tre.<br>The train leaves a quarter to three.
Half past	E mezza<br>Ho l’appuntamento dal dentista per le cinque e mezza.<br>I have an appointment with the dentist at half past five.
Delayed	In ritardo<br>Il mio volo è in ritardo di 30 minuti.<br>My flight is 30 minutes delayed.
AM	Del mattino<br>La sveglia suona ogni giorno alle 6:00 del mattino.<br>The alarm clock goes off every day at 6.00 am.
O’clock	In punto<br>Vediamoci alle 4 in punto davanti a Footlocker.<br>Let’s meet at 4 o’clock in front of Footlocker.
Hour	Ora<br>Sta studiando da un'ora.<br>He has been studying for an hour.
Clock	Orologio<br>Quell'orologio è mezz'ora indietro.<br>That clock is half an hour backward.
After	Dopo<br>Dopo 4 anni a Milano, penso di aver imparato bene l’italiano.<br>After 4 years in Milan, I think I have learned Italian well.
Before	Prima<br>Vorrei averti incontrato prima.<br>I wish I had met you before.
Car	Macchina<br>Con il mio primo stipendio, vorrei comprare una macchina.<br>With my first salary, I would like to buy a car.
Bus	Autobus<br>“A che ora parte l’autobus?” “Tra 10 minuti, sbrigati!”<br>"What time does the bus leave?" "In 10 minutes, hurry up!"
Helicopter	Elicottero<br>L’elicottero è salito fino a 4.000 mt. per salvare gli escursionisti.<br>The helicopter climbed up to 4,000 meters to save the hikers.
Boat	Barca<br>Questa barca può ospitare fino a 40 passeggeri.<br>This boat can accommodate up to 40 passengers.
Bicycle	Bicicletta<br>Per il suo compleanno, gli hanno regalato una bicicletta nuova.<br>For his birthday, he was given a new bicycle.
Motorcycle	Motocicletta<br>Una motocicletta è meglio di una macchina per muoversi nel traffico.<br>A motorcycle is better than a car to move in the traffic.
Fine	Multa<br>“Dove posso pagare questa multa?" “All’ufficio postale”<br>"Where can I pay this fine?" "At the post office”
Ferry	Traghetto<br>“Come andate in Grecia?" “Con il traghetto”<br>“How do you travel to Greece?” “By ferry”
Train	Treno<br>Il treno ad alta velocità è una gran bella comodità.<br>The high-speed train is a great comfort.
Flotation device	Dispositivo galleggiante<br>È un dispositivo galleggiante per segnalare il pericolo.<br>It is a flotation device to signal danger.
Life jacket	Giubbotto di salvataggio<br>Quando sentite il fischio, indossate il giubbotto di salvataggio.<br>As soon as you hear the whistle, wear the life jacket.
Subway	Metropolitana<br>Mi potrebbe indicare una fermata della metropolitana nelle vicinanze?<br>Can you show me a subway stop nearby?
Airplane	Aereo<br>Viaggio in aereo 30 volte all’anno. Sono un viaggiatore seriale.<br>I travel by airplane 30 times a year. I am a serial traveller.
Taxi	Taxi<br>La tariffa dei taxi a Milano è carissima.<br>The taxi fare in Milan is very expensive.
Monorail	Monorotaia<br>C'è una monorotaia che sale su quella collina.<br>There is a monorail that goes up that hill.
Truck	Autocarro<br>Guida un autocarro e trascorre la maggior parte del tempo sulla strada.<br>He drives a truck and spends most of the time on the road.
Give up a seat	Cedere il posto<br>Se vedi una donna incinta sull’autobus, dovresti cedere il tuo posto.<br>If you see a pregnant woman on the bus, you should give up your seat.
Metro	Metropolitana<br>Prendo la metropolitana per andare al lavoro.<br>I catch the metro to go to work.
Motorbike	Motocicletta<br>Il mio sogno era una motocicletta quando avevo sedici anni.<br>My dream was a motorbike when I was sixteen.
Automobile	Automobile<br>Mi riconoscerai. Ho una grande automobile rossa.<br>You will recognise me. I have a big red automobile.
Cable car	Tram<br>I tram si possono trovare solo nelle grandi città.<br>Cable cars can only be found in big cities.
Vehicle	Veicolo<br>Prima di comprare la mia bici, non avevo alcun veicolo.<br>Before buying my bike, I didn’t have any vehicles.
Moped	Motorino<br>Se non posso avere un’auto, comprerò un motorino.<br>If I can’t have a car, I will buy a moped.
Accompany	Accompagnare<br>Il prossimo mese dovrò accompagnare gli studenti in gita.<br>Next month I’ll have to accompany the students on a trip.
Guidebook	Guida turistica<br>Ho appena acquistato una guida turistica sull’Italia.<br>I have just bought a guidebook about Italy.
Tourist	Turista<br>Quel turista è stato derubato della macchina fotografica.<br>That tourist was robbed of his camera.
Tourist attraction	Attrazione turistica<br>Il Colosseo è una grande attrazione turistica di Roma.<br>The Colosseum is a major tourist attraction in Rome.
Tour bus	Autobus turistico<br>Viaggerò su un autobus turistico in giro per l'Europa.<br>I will travel on a tour bus around Europe.
Travel agency	Agenzia di viaggi<br>Ho comprato il biglietto aereo in agenzia di viaggi.<br>I bought the airline ticket at the travel agency.
Travel	Viaggiare<br>Se fossi in te, non smetterei di continuare a viaggiare.<br>If I were you, I wouldn’t stop travelling the way you do.
Vacation	Vacanza<br>Alfredo è andato a Bali in vacanza.<br>Alfred went to Bali on vacation.
Guide	Guida<br>Visitare Tokyo senza una guida è impossibile.<br>Visiting Tokyo without a guide is impossible.
Itinerary	Itinerario<br>Abbiamo scelto l’itinerario sbagliato e tutto è andato storto.<br>We chose the wrong itinerary and everything went wrong.
Tour	Visitare<br>Abbiamo deciso di visitare l’Italia l’anno scorso.<br>We decided to tour Italy last year.
Ride	Viaggiare<br>Abbiamo deciso di viaggiare in macchina.<br>We decided to ride by car.
Photo	Foto<br>Per il passaporto devi avere con te una foto e la carta di identità.<br>To get your passport, you must have a photo and ID card with you.
Go	Andare<br>Dove vorresti andare? Cinema o discoteca?<br>Where would you like to go? Cinema or disco?
Rest	Riposarsi<br>Dove è possibile riposarsi in questo posto?<br>Where is it possible to rest in this place?
Respect	Rispettare<br>Ti chiedo solo di rispettare l’orario che ti ho dato.<br>I only ask you to respect the time I gave you.
Sweat	Sudare<br>Oggi non riesco a smettere di sudare. Ci sono 36 gradi!<br>Today I can’t stop sweating. There are 36 degrees outside!
Wake up	Svegliarsi<br>Forza, sono le 7:00! È ora di svegliarsi!<br>Come on, it's 7.00 am! It's time to wake up!
Translate	Tradurre<br>Devo tradurre 500 frasi entro domani.<br>I have to translate 500 sentences by tomorrow.
Find	Trovare<br>Dove posso trovare dei fogli di carta? Nel primo cassetto.<br>Where can I find some sheets? In the first drawer.
See	Vedere<br>Dal mio balcone posso vedere i campi di grano.<br>From my balcony I can see the wheat fields.
Can	Potere<br>Puoi imparare l’italiano molto velocemente se mi ascolti.<br>You can learn Italian very quickly if you listen to me.
